"zone";"feuille";"station";"lon";"lat";"pluie_originale";"pluie_mm"
"ZONE NORD";"Nord";"KEUR MOMAR SARR";-16,16;15,33;"TR";0,1
"ZONE NORD";"Nord";"RANEROU-FERLO";-14,96;16,65;"54.100000000000001";54,1
"ZONE NORD";"Nord";"LOUGRE-MBABA";-16,08;15,23;"26.5";26,5
"ZONE NORD";"Nord";"DAKHAR NGOGNE";-15,5;16,52;"26";26
"ZONE NORD";"Nord";"LOUMBOUL-SAMBA-ABDOUL";-14,58;15,57;"25.399999999999999";25,4
"ZONE NORD";"Nord";"DENDOUDJI";-12,7;15,08;"25";25
"ZONE NORD";"Nord";"FOURDOU";-13,55;15,18;"25";25
"ZONE NORD";"Nord";"NAMARY";-13,58;15,18;"24";24
"ZONE NORD";"Nord";"BELEL";-14,15;15,21;"23.5";23,5
"ZONE NORD";"Nord";"N'DANDE";-16,27;15,92;"21.300000000000001";21,3
"ZONE NORD";"Nord";"NGAGNE DIOUF";-13,42;15,82;"20";20
"ZONE NORD";"Nord";"YOUNOUFERE";-14,44;14,37;"17";17
"ZONE NORD";"Nord";"FETE BOWE";-15,22;16,52;"15.1";15,1
"ZONE NORD";"Nord";"NAOURE";-14,25;15,48;"15";15
"ZONE NORD";"Nord";"LINGUERE METEO";-16,2;15,5;"14.5";14,5
"ZONE NORD";"Nord";"DAROUMOUSTY";-16,58;15,22;"14.300000000000001";14,3
"ZONE NORD";"Nord";"KOURBOL";-15,17;15,58;"13.5";13,5
"ZONE NORD";"Nord";"KATANE";-15,42;15,52;"13.4";13,4
"ZONE NORD";"Nord";"BOULAL";-14,1;15,25;"13";13
"ZONE NORD";"Nord";"MBANE";-13,25;15,64;"11.6";11,6
"ZONE NORD";"Nord";"KANENE NDIOB";-14,65;16,51;"11.199999999999999";11,2
"ZONE NORD";"Nord";"MALANDOU";-13,83;15,08;"11";11
"ZONE NORD";"Nord";"LOUGRE-THIOLY";-14,75;16,55;"10";10
"ZONE NORD";"Nord";"SAGATA-GUETH";-15,55;15,22;"8.1999999999999993";8,2
"ZONE NORD";"Nord";"VELINGARA-FERLO";-15,13;15,42;"7";7
"ZONE NORD";"Nord";"KEBEMER";-14,11;15,5;"5.2000000000000002";5,2
"ZONE NORD";"Nord";"THIAMENE KAYOR";-15,86;15,42;"5";5
"ZONE NORD";"Nord";"NDIAGNE";-13,25;15,66;"3";3
"ZONE NORD";"Nord";"REWANE";-16,17;15,36;"3";3
"ZONE NORD";"Nord";"NAMAREL";-16,17;15,67;"2";2
"ZONE NORD";"Nord";"LOUGA METEO";-15,07;15,27;"0.20000000000000001";0,2
"ZONE NORD";"Nord";"AERE LAO";-14,46;15,15;"0";0
"ZONE NORD";"Nord";"BARKEDJI";-14,32;16,4;"0";0
"ZONE NORD";"Nord";"BOKHOL";-14,85;15,27;"0";0
"ZONE NORD";"Nord";"BOKI-DIAVE";-16,42;16,03;"0";0
"ZONE NORD";"Nord";"BOULAL";-13,48;15,88;"0";0
"ZONE NORD";"Nord";"BOW";-15,65;15,38;"0";0
"ZONE NORD";"Nord";"CEEBE-COLY";-13,49;14,92;"0";0
"ZONE NORD";"Nord";"COKI";-13,17;15,48;"0";0
"ZONE NORD";"Nord";"DABIA";-15,27;15,4;"0";0
"ZONE NORD";"Nord";"DAGANA";-13,49;15,96;"0";0
"ZONE NORD";"Nord";"DAHRA";-14,38;15,4;"0";0
"ZONE NORD";"Nord";"DEALY";-16,04;15,04;"0";0
"ZONE NORD";"Nord";"DEMBANKANE";-15,72;15,03;"0";0
"ZONE NORD";"Nord";"DODJI";-13,53;15,38;"0";0
"ZONE NORD";"Nord";"DOUNDODJI";-14,93;15,53;"0";0
"ZONE NORD";"Nord";"FANAYE DIERI";-15,18;15,47;"0";0
"ZONE NORD";"Nord";"FETOLAOBE";-13,67;14,74;"0";0
"ZONE NORD";"Nord";"FOURDOU";-13,9;14,85;"0";0
"ZONE NORD";"Nord";"GALOYA";-14,31;15,08;"0";0
"ZONE NORD";"Nord";"GANGUEL-SOULE";-13,85;16,07;"0";0
"ZONE NORD";"Nord";"GASSANE";-13,58;15,63;"0";0
"ZONE NORD";"Nord";"GOREE-WALY";-15,28;14,82;"0";0
"ZONE NORD";"Nord";"GOULOM-MBETHIO";-15,2;15,3;"0";0
"ZONE NORD";"Nord";"GUEDE CHANTIERS";-12,87;15,25;"0";0
"ZONE NORD";"Nord";"GUENENE";-15,28;15,47;"0";0
"ZONE NORD";"Nord";"GUEOUL";-15,12;15,37;"0";0
"ZONE NORD";"Nord";"GUEYE-KADAR";-16,34;15,48;"0";0
"ZONE NORD";"Nord";"GUIDJILOGNE";-14,55;16,43;"0";0
"ZONE NORD";"Nord";"HAMADY-OUNARE";-13,33;15,93;"0";0
"ZONE NORD";"Nord";"KADD-BALLODJI";-13,02;15,33;"0";0
"ZONE NORD";"Nord";"KADJI";-15,77;14,97;"0";0
"ZONE NORD";"Nord";"KADJI-MADIA";-15,05;15,45;"0";0
"ZONE NORD";"Nord";"KAMB";-15,05;15,45;"0";0
"ZONE NORD";"Nord";"KANEL";-13,93;16,1;"0";0
"ZONE NORD";"Nord";"KELLE";-16,44;15,37;"0";0
"ZONE NORD";"Nord";"KHOGUE";-15,96;16;"0";0
"ZONE NORD";"Nord";"KOBILO";-15,17;15,28;"0";0
"ZONE NORD";"Nord";"LABGAR";-13,52;15,92;"0";0
"ZONE NORD";"Nord";"LAMPSAR";-14,8;15,82;"0";0
"ZONE NORD";"Nord";"LEONA";-16,33;16,1;"0";0
"ZONE NORD";"Nord";"LINGUERE VILLE";-15,13;15,13;"0";0
"ZONE NORD";"Nord";"LORO";-15,1;15,38;"0";0
"ZONE NORD";"Nord";"LOUMBI";-15,23;16,17;"0";0
"ZONE NORD";"Nord";"MAKATARE";-14,63;14,85;"0";0
"ZONE NORD";"Nord";"LINDE-MOURIDE";-15,35;15,63;"0";0
"ZONE NORD";"Nord";"MATAM";-16,41;15,79;"0";0
"ZONE NORD";"Nord";"MBAR TOUBAB";-15,89;15,61;"0";0
"ZONE NORD";"Nord";"MBEDIENE";-15,67;16,02;"0";0
"ZONE NORD";"Nord";"MBELONE";-15,78;16,27;"0";0
"ZONE NORD";"Nord";"MBEM-MBEM";-13,77;15,92;"0";0
"ZONE NORD";"Nord";"MBEULEUKHE";-16,43;15,63;"0";0
"ZONE NORD";"Nord";"M'BIDY";-14,4;14,81;"0";0
"ZONE NORD";"Nord";"MBOLO BIRANE";-14,93;16,13;"0";0
"ZONE NORD";"Nord";"MBOULA";-13,8;16,05;"0";0
"ZONE NORD";"Nord";"MBOUMBA";-15,43;15,67;"0";0
"ZONE NORD";"Nord";"MBOUNDOU-MBABA";-14,02;16,18;"0";0
"ZONE NORD";"Nord";"MOGOTAFSIR-BALA";-14,37;13,99;"0";0
"ZONE NORD";"Nord";"MPAL";-13,38;15,65;"0";0
"ZONE NORD";"Nord";"NDIAFANE";-16,56;15,28;"0";0
"ZONE NORD";"Nord";"NDIAYE";-16,07;15,42;"0";0
"ZONE NORD";"Nord";"N'DIOUM";-14,26;15,02;"0";0
"ZONE NORD";"Nord";"NDOULOUMADJI-FOUNEBE";-16,27;16,2;"0";0
"ZONE NORD";"Nord";"NGARAAF";-16,2;15,18;"0";0
"ZONE NORD";"Nord";"NGOUYE-DIERY";-15,28;15,35;"0";0
"ZONE NORD";"Nord";"NGUERMALAL";-15,25;15,55;"0";0
"ZONE NORD";"Nord";"NGUIDILE";-15,84;15,85;"0";0
"ZONE NORD";"Nord";"NGUITH";-16,21;15,77;"0";0
"ZONE NORD";"Nord";"NIOMRE";-15,15;15,4;"0";0
"ZONE NORD";"Nord";"OGO";-16,09;15,82;"0";0
"ZONE NORD";"Nord";"OREFONDE";-13,28;15,55;"0";0
"ZONE NORD";"Nord";"OUARKHOKH";-13,72;16,03;"0";0
"ZONE NORD";"Nord";"OUDALAYE";-15,23;15,38;"0";0
"ZONE NORD";"Nord";"OUROSSOGUI";-14,21;14,83;"0";0
"ZONE NORD";"Nord";"PETE";-13,89;15,32;"0";0
"ZONE NORD";"Nord";"PODOR";-15,28;15,18;"0";0
"ZONE NORD";"Nord";"POTOU";-13,32;15,6;"0";0
"ZONE NORD";"Nord";"RANCH DOLI";-16,5;15,72;"0";0
"ZONE NORD";"Nord";"RAO";-15,17;14,75;"0";0
"ZONE NORD";"Nord";"RICHARD TOLL";-16,38;15,92;"0";0
"ZONE NORD";"Nord";"ROSS-BETHIO";-15,7;16,45;"0";0
"ZONE NORD";"Nord";"ROSSO-SENEGAL";-16,13;16,28;"0";0
"ZONE NORD";"Nord";"SAGATA-DJOLOFF";-15,8;16,5;"0";0
"ZONE NORD";"Nord";"Saint-Louis-Aero";-16,17;15,28;"0";0
"ZONE NORD";"Nord";"SAKAL";-16,27;16,03;"0";0
"ZONE NORD";"Nord";"SALDE";-15,47;15,33;"0";0
"ZONE NORD";"Nord";"SAM NDIAYE";-16,06;15,6;"0";0
"ZONE NORD";"Nord";"SAVOIGNE";-16,37;15,71;"0";0
"ZONE NORD";"Nord";"SEMME";-16,42;16,03;"0";0
"ZONE NORD";"Nord";"SINTHIOU-BABAMBE";-12,93;15,18;"0";0
"ZONE NORD";"Nord";"SINTHIOU-GARBA";-13,12;15,37;"0";0
"ZONE NORD";"Nord";"TATKI";-13,27;15,5;"0";0
"ZONE NORD";"Nord";"TESSEKERRE";-15,28;16,22;"0";0
"ZONE NORD";"Nord";"THIAMENE FASS";-15,05;14,85;"0";0
"ZONE NORD";"Nord";"THIARGNY";-13,67;14,55;"0";0
"ZONE NORD";"Nord";"THIEL";-15,51;15,32;"0";0
"ZONE NORD";"Nord";"THIlLEU";-15,05;14,93;"0";0
"ZONE NORD";"Nord";"THILOGNE";-14,87;15,62;"0";0
"ZONE NORD";"Nord";"THIOLOM FALL";-13,58;15,95;"0";0
"ZONE NORD";"Nord";"THIONOKH";-14,75;16,32;"0";0
"ZONE NORD";"Nord";"TOUBA BOUSTANE";-16,32;15,33;"0";0
"ZONE NORD";"Nord";"TOUBA GAYENNE";-15,67;15,1;"0";0
"ZONE NORD";"Nord";"WAOUNDE";-13,88;16,17;"0";0
"ZONE NORD";"Nord";"WISS-WISS";-14,74;14,67;"0";0
"ZONE NORD";"Nord";"YANG-YANG";-15,25;15,27;"0";0
"ZONE CENTRE";"Centre";"PIRE-GOUREYE";-16,74;15,01;"TR";0,1
"ZONE CENTRE";"Centre";"SANGHE";-16,96;14,7;"TR";0,1
"ZONE CENTRE";"Centre";"DIOFFIOR";-16,67;14,18;"107.5";107,5
"ZONE CENTRE";"Centre";"MBELLACADIAO";-16,29;14,34;"105";105
"ZONE CENTRE";"Centre";"NDIEFATTE";-16,2;14,1;"102.5";102,5
"ZONE CENTRE";"Centre";"GAGNICK";-16;14,3;"102";102
"ZONE CENTRE";"Centre";"PATAR LIA";-16,18;14,49;"99";99
"ZONE CENTRE";"Centre";"MBOUR";-16,97;14,42;"96";96
"ZONE CENTRE";"Centre";"PALMARIN";-16,77;14,03;"90";90
"ZONE CENTRE";"Centre";"OUROUR";-16;14,3;"85";85
"ZONE CENTRE";"Centre";"OUADIOUR";-16,06;14,43;"84";84
"ZONE CENTRE";"Centre";"THIADIAYE";-16,7;14,42;"76.799999999999997";76,8
"ZONE CENTRE";"Centre";"DIAOULE";-16,23;14,36;"76";76
"ZONE CENTRE";"Centre";"SANDIARA";-16,79;14,43;"75.5";75,5
"ZONE CENTRE";"Centre";"GOSSAS";-16,08;14,49;"71";71
"ZONE CENTRE";"Centre";"FATICK";-16,4;14,32;"66.599999999999994";66,6
"ZONE CENTRE";"Centre";"KHELCOM";-15,44;14,64;"66.299999999999997";66,3
"ZONE CENTRE";"Centre";"GAINTHE KAYE";-15,95;13,82;"65";65
"ZONE CENTRE";"Centre";"DABALI";-15,68;13,74;"64";64
"ZONE CENTRE";"Centre";"KAOLACK";-16,1;14,1;"64";64
"ZONE CENTRE";"Centre";"GNIBY";-15,6;14,41;"61";61
"ZONE CENTRE";"Centre";"TATTAGUINE";-16,6;14,42;"61";61
"ZONE CENTRE";"Centre";"GUINGUINEO";-16;14,3;"60.5";60,5
"ZONE CENTRE";"Centre";"NGAYENE SABAKH";-15,49;13,68;"60.5";60,5
"ZONE CENTRE";"Centre";"KEUR SAMBA GUEYE";-16,46;13,89;"57";57
"ZONE CENTRE";"Centre";"KAYMOR";-15,58;13,77;"56";56
"ZONE CENTRE";"Centre";"NDIOB";-16,26;14,54;"56";56
"ZONE CENTRE";"Centre";"NGUEKHOKH";-17;14,51;"55";55
"ZONE CENTRE";"Centre";"KAHI";-15,53;14,15;"51";51
"ZONE CENTRE";"Centre";"DAROU SALAM";-15,95;13,84;"50.5";50,5
"ZONE CENTRE";"Centre";"NIAKHAR";-16,39;14,48;"50";50
"ZONE CENTRE";"Centre";"MEDINATOUL-SALAM";-15,21;13,83;"49";49
"ZONE CENTRE";"Centre";"GANDIAYE";-16,43;14,2;"48";48
"ZONE CENTRE";"Centre";"KAOLACK-AGRI";-16,1;14,2;"48";48
"ZONE CENTRE";"Centre";"LATMINGUE";-15,9;14,1;"48";48
"ZONE CENTRE";"Centre";"KAFFRINE";-15,46;14,13;"47";47
"ZONE CENTRE";"Centre";"TOUBACOUTA";-16,47;13,78;"47";47
"ZONE CENTRE";"Centre";"DIANKE-SOUF";-15,3;14,23;"42";42
"ZONE CENTRE";"Centre";"GUEDIAWAYE";-17,39;14,78;"41";41
"ZONE CENTRE";"Centre";"JOAL-FADHIOUTH";-16,85;14,18;"40.5";40,5
"ZONE CENTRE";"Centre";"DAKAR-YOFF";-17,5;14,74;"38.100000000000001";38,1
"ZONE CENTRE";"Centre";"PASSY";-16,26;13,98;"38";38
"ZONE CENTRE";"Centre";"NIORO-DU-RIP";-15,78;13,73;"37.5";37,5
"ZONE CENTRE";"Centre";"MBOSS";-15,8;14,4;"37";37
"ZONE CENTRE";"Centre";"NDIAGANIAO";-16,72;14,53;"36";36
"ZONE CENTRE";"Centre";"FASS-TCHECKENE";-14,77;13,89;"35.700000000000003";35,7
"ZONE CENTRE";"Centre";"CAYAR";-17,13;14,91;"33";33
"ZONE CENTRE";"Centre";"DJILOR SALOUM";-16,33;14,05;"33";33
"ZONE CENTRE";"Centre";"DIMISKHA";-15,06;13,86;"31";31
"ZONE CENTRE";"Centre";"KEUR SALOUM DIANE";-16,34;13,75;"31";31
"ZONE CENTRE";"Centre";"MBAYENNE";-16,3;15,16;"31";31
"ZONE CENTRE";"Centre";"DIAMAGADIO";-15,4;13,8;"30";30
"ZONE CENTRE";"Centre";"DJILOR SINE";-16,69;14,07;"30";30
"ZONE CENTRE";"Centre";"MEDINA-SABBAKH";-15,59;13,6;"30";30
"ZONE CENTRE";"Centre";"MBAO-KM19";-17,33;14,75;"29.600000000000001";29,6
